HP-AP	H5LP - A5LP	FF	MHScored	MHSkipped	MAScored	MASkipped	R
3	3	1.0	2.0	1.0	1.0	2.0	1
3	3	1.0	4.0	0.0	0.0	4.0	1
-3	-3	-1.0	3.0	4.0	4.0	3.0	-1
3	3	1.0	1.0	0.0	0.0	1.0	1
3	3	1.0	2.0	0.0	0.0	2.0	1
-3	-3	-1.0	0.0	1.0	1.0	0.0	-1
3	3	1.0	3.0	1.0	1.0	3.0	1
3	3	1.0	3.0	2.0	2.0	3.0	1
-3	-3	-1.0	0.0	1.0	1.0	0.0	-1
0	0	0.0	2.0	2.0	2.0	2.0	0
-3	-3	-1.0	2.0	2.0	1.5	0.5	-1
1	1	1.0	3.0	2.0	2.5	3.0	1
-3	-3	0.0	1.5	2.5	3.0	1.0	0
-6	-6	-1.0	0.5	2.0	3.0	1.0	-1
0	0	1.0	1.0	1.0	1.0	0.5	1
0	0	0.0	0.5	1.5	0.5	1.0	0
6	6	1.0	1.5	0.5	2.0	3.0	1
-1	-1	-1.0	0.5	1.5	2.5	1.0	-1
0	0	1.0	3.5	2.0	1.0	2.5	1
3	3	1.0	1.0	2.0	0.0	1.5	1
6	6	0.5	2.0	0.6666666666666666	0.6666666666666666	2.0	1
-6	-6	-0.5	0.3333333333333333	1.6666666666666667	3.0	1.3333333333333333	-1
0	0	0.5	2.0	2.3333333333333335	2.6666666666666665	2.0	1
5	5	1.0	1.3333333333333333	2.0	1.3333333333333333	2.3333333333333335	1
0	0	0.0	1.0	0.6666666666666666	1.6666666666666667	1.6666666666666667	0
0	0	0.0	1.5	1.75	1.0	1.3333333333333333	-1
0	0	-0.5	2.0	1.3333333333333333	1.0	1.3333333333333333	-1
1	1	0.5	3.0	1.3333333333333333	1.25	1.25	1
3	3	0.5	0.6666666666666666	1.3333333333333333	0.6666666666666666	2.0	1
0	0	0.0	1.25	1.25	1.5	1.75	-1
3	3	0.0	1.6	1.4	1.5	1.75	1
4	4	1.0	3.0	1.25	1.25	2.25	1
1	1	0.5	1.75	1.75	1.5	2.5	1
-1	-1	0.0	0.75	1.75	0.5	1.5	0
-1	-1	1.0	1.0	0.6666666666666666	2.25	1.25	1
-2	-2	0.0	1.25	1.25	1.75	1.0	1
0	0	0.0	1.0	1.5	2.0	1.3333333333333333	1
0	0	0.5	2.0	1.5	0.5	1.0	0
-1	-1	0.0	1.0	1.5	1.25	0.75	-1
2	2	0.3333333333333333	1.6	1.4	1.6	1.4	1
-2	-2	0.0	1.2	2.2	0.6	1.2	-1
3	3	0.6666666666666667	1.4	1.8	1.0	1.4	1
4	4	0.3333333333333333	1.1666666666666667	1.0	1.0	1.6	1
-6	-6	-0.3333333333333333	0.4	1.2	1.4	1.0	-1
-7	-7	0.16666666666666669	1.5	1.0	2.3333333333333335	0.8333333333333334	0
8	8	1.0	2.2	0.8	1.4	2.2	1
0	0	0.0	1.2	1.4	1.6	1.2	0
9	9	1.0	2.6	1.0	0.6	2.2	1
0	0	0.3333333333333333	1.2	1.6	1.25	1.0	0
4	4	0.6666666666666667	2.3333333333333335	0.8333333333333334	1.1666666666666667	1.0	1
